pid,fid18,provcd18,urban18,gender_update,wa701code,wc3_b_2,ws3,ws4,ws5,ws602,ws604,wf501,wf502,wf601m,wf602m,wf603m,wf604m,wf801,wf802,wf803,wf804,wt1,wd503r
100551552,100551,河北省,乡村,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
100724602,100724,河北省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
100810601,100810,河北省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
100879601,100879,北京市,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
101274601,101274,山西省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
102730601,102730,辽宁省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
103465601,103465,辽宁省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
103671621,103671,辽宁省,缺失,男,汉族,不适用,,,,,,,,,,,,,,,,,
103788551,103788,辽宁省,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,同意,同意,同意,同意,否,不适用
103924504,103924,河北省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,经常（每周2-4次）,很经常（每周5-7次）,经常（每周2-4次）,十分同意,不同意,十分同意,十分同意,是,4500
106561502,555780,上海市,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,很少（每月1次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用
106632601,106632,上海市,城镇,男,汉族,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,同意,是,10000
107619551,107619,江西省,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,很少（每月1次）,经常（每周2-4次）,经常（每周2-4次）,同意,同意,同意,同意,否,不适用
107619552,107619,江西省,城镇,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
107624502,107624,安徽省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,从不,不适用,不适用,不适用,不适用,不适用,不同意,否,不适用
