fid18,fincome1
100051,240000
100160,180000
100286,30000
100435,70000
100453,118000
100551,80000
100569,2720
100724,30000
100733,60000
100744,162000
100765,65000
100782,65000
100810,36500
100879,21000
100920,100000
101023,58000
101129,41500
101130,60000
101274,20000
101303,80000
101711,60000
101797,71200
102025,64000
102448,100000
102473,30000
102571,20350
102666,70000
102730,72000
102783,70000
102814,60000
102888,42000
102992,54000
103465,110000
103614,0
103671,65000
103766,40000
103788,220000
103923,50000
103924,120000
104054,350000
104088,150000
104182,100000
104256,816000
104690,120000
105727,146000
105761,120000
106335,260000
106383,28200
106561,57600
106601,5080
106605,20600
106632,500000
106761,300000
106867,200000
106945,53500
106971,160000
107435,110400
107456,175000
107463,80000
107619,60000
107624,80000
107643,154800
107648,1000000
107696,100000
107824,100000
107911,15000
108037,122400
108165,70000
108211,175000
108244,115000
108466,21950
108476,165000
108598,48000
108628,100000
108640,26000
108979,30000
108998,45000
109121,50000
109137,176000
109169,66000
109216,60400
109336,191672
109404,100000
109514,30000
109531,240000
109606,172000
109710,113500
109791,25000
109849,126000
109942,20000
109949,20000
109970,72005
110006,144000
110009,511200
110015,19200
110018,60000
110020,204000
110024,124000
110026,449500
110027,216800
110030,204000
110031,144000
110033,150000
110035,240000
110040,46515
110041,120000
110043,160000
110045,11000
110047,200000
110050,121600
110052,126024
110057,210800
110060,312000
110062,210000
110064,350000
110065,200000
110067,210000
110069,206400
110071,223430
110072,122300
110073,102000
110074,79200
110076,106800
110078,308900
110079,72000
110081,288000
110083,120000
110084,200000
110092,106200
110107,180000
110108,236000
110111,288000
110113,81600
110114,240000
110116,120000
110119,47434
110120,250000
110123,216000
110124,200000
110125,147605
110126,180000
110129,500000
110147,6500000
110148,44400
110165,160500
110241,70000
110426,92500
110434,34700
110493,112000
110519,60000
110682,96000
110689,70000
110712,45000
110717,80000
110722,55000
110730,150000
110754,45800
110823,78000
110828,17820
110901,82250
110935,250000
111013,43000
111065,122500
111203,200000
111229,60000
111230,130300
111272,50000
111278,70000
111308,59180
111476,120000
111535,600005
111732,40400
111752,30000
111790,260000
111921,490000
111999,50000
112065,36000
112181,8100
112186,70000
112294,70000
112446,35000
112526,65000
112537,60000
112779,50000
113012,800000
113116,40000
113205,29500
113415,7348
113499,404500
113526,82000
113604,254000
113661,100000
113900,80000
113941,60896
114015,37500
114120,32000
114130,90000
114614,80000
114792,20000
114882,22177
114900,60000
115057,140000
115395,117900
115488,24000
115509,14400
115554,30000
115565,1560000
115650,150000
115653,50000
115667,100000
115788,78000
115905,55000
115958,40000
115961,31000
115966,80000
115986,61000
116138,60000
116140,20000
116221,80000
116282,440000
116939,76000
117058,31000
117111,50000
117163,50000
117227,340000
117324,180000
117517,65000
117660,58080
