pid,fid18,tb4_a18_f,tb4_a18_m
100051501,100051,不适用,文盲/半文盲
110043107,100051,高中,高中
100051502,100051,不适用,不适用
100160601,100160,不适用,不适用
120009102,100160,大专,大学本科
130005103,100286,初中,文盲/半文盲
100376551,100376,不适用,不适用
130094103,100376,小学,小学
130155521,100435,初中,高中
130155103,100435,小学,初中
277731501,100435,不适用,不适用
100435552,100435,初中,高中
430111101,100453,不适用,不适用
430111103,100453,小学,初中
430111102,100453,不适用,不适用
100453401,100453,大学本科,大学本科
100453431,100453,不适用,不适用
100453551,100453,大学本科,大学本科
100551552,100551,大学本科,大学本科
130281103,100551,小学,初中
100551551,100551,不适用,不适用
130299106,100569,不适用,不适用
130299105,100569,不适用,不适用
100724602,100724,高中,大专
130492103,100724,初中,小学
130492521,100724,高中,大专
100724601,100724,不适用,不适用
130463104,100733,小学,文盲/半文盲
130475104,100744,文盲/半文盲,文盲/半文盲
100744601,100744,不适用,不适用
130533103,100765,不适用,高中
130517104,100782,初中,初中
130517101,100782,不适用,不适用
130517102,100782,小学,不适用
130547103,100810,初中,文盲/半文盲
100810601,100810,初中,小学
130547411,100810,初中,小学
100810551,100810,不适用,不适用
130630103,100879,小学,初中
130630551,100879,不适用,不适用
100879601,100879,初中,初中
130681103,100920,初中,文盲/半文盲
130815104,101023,高中,高中
130815105,101023,初中,初中
130815501,101023,高中,高中
130815102,101023,初中,小学
130896107,101129,高中,不适用
130896105,101129,不适用,不适用
101129501,101129,不适用,不适用
130896106,101129,不适用,小学
130896521,101129,高中,不适用
130897103,101130,小学,小学
101274551,101274,不适用,不适用
140093103,101274,初中,小学
101274601,101274,大专,初中
140122105,101303,高中,高中
140676571,101711,小学,小学
140676203,101711,文盲/半文盲,文盲/半文盲
140676108,101711,小学,小学
140676103,101711,小学,小学
140668104,101797,初中,初中
140668105,101797,小学,初中
140668103,101797,小学,初中
140668102,101797,不适用,不适用
140668101,101797,不适用,初中
169057571,102011,大专,大专
410481103,102011,高中,高中
169057501,102011,不适用,不适用
411771106,102025,不知道,小学
411771105,102025,小学,初中
210223103,102448,高中,小学
210263102,102473,不适用,初中
102571552,102571,不适用,不适用
102571551,102571,不适用,不适用
210413102,102571,小学,文盲/半文盲
102666601,102666,不适用,不适用
210547571,102666,大专,高中
210547103,102666,初中,初中
102730601,102730,大专,大专
210638104,102730,高中,高中
102730551,102730,不适用,不适用
210727103,102783,初中,初中
210761104,102814,高中,初中
210966103,102888,高中,大专
210966105,102888,不适用,不适用
210966102,102888,不适用,初中
211093102,102992,不适用,不适用
211584103,103465,大专,初中
103465551,103465,不适用,不适用
211584571,103465,大学本科,大学本科
103465601,103465,大学本科,大学本科
211775101,103614,不适用,不适用
103671621,103671,大学本科,大专
211820103,103671,初中,初中
103671501,103671,不适用,不适用
211934103,103766,小学,小学
103788551,103788,大专,大学本科
211952103,103788,初中,初中
103788501,103788,不适用,不适用
103923551,103923,不适用,不适用
220160105,103923,小学,不适用
220098103,103924,小学,文盲/半文盲
103924504,103924,大学本科,大学本科
103924502,103924,不适用,不适用
103924501,103924,不适用,不适用
103924503,103924,高中,初中
220316103,104054,不适用,初中
220279105,104088,小学,小学
230016102,104182,不适用,高中
230103103,104256,高中,高中
104256601,104256,不适用,不适用
230327102,104521,小学,文盲/半文盲
104521601,104521,不适用,大专
230327103,104521,初中,小学
230624103,104690,小学,初中
311299103,105727,不适用,文盲/半文盲
311299105,105727,初中,初中
311299104,105727,小学,不适用
311346103,105761,初中,文盲/半文盲
105761551,105761,不适用,不适用
312144107,106335,高中,大专
312144432,106335,不适用,不适用
312144431,106335,不适用,不适用
312144106,106335,初中,高中
312144101,106335,初中,小学
312217103,106383,不适用,不适用
312217102,106383,不适用,不适用
312458103,106561,初中,初中
320104105,106597,初中,缺失
211940104,106601,不适用,小学
211940103,106601,不适用,不适用
320111102,106605,不适用,不适用
106632601,106632,大专,大学本科
312534104,106632,不适用,不适用
312534103,106632,小学,初中
320107521,106761,大专,高中
320107104,106761,初中,小学
106761501,106761,不适用,不适用
330067571,106867,高中,大专
330067104,106867,初中,初中
106867551,106867,不适用,不适用
330187105,106945,文盲/半文盲,文盲/半文盲
330187101,106945,不适用,不适用
106971571,106971,大专,高中
330222102,106971,初中,文盲/半文盲
106971551,106971,不适用,不适用
340123103,107435,初中,初中
340123205,107435,文盲/半文盲,文盲/半文盲
107435501,107435,不适用,不适用
350095431,107456,不适用,不适用
350095103,107456,小学,文盲/半文盲
350103104,107463,文盲/半文盲,文盲/半文盲
107463551,107463,不适用,不适用
350103107,107463,初中,初中
360086104,107619,初中,小学
107619552,107619,初中,高中
360086571,107619,初中,高中
107619553,107619,不适用,不适用
107619551,107619,初中,高中
340323105,107624,初中,文盲/半文盲
107624501,107624,不适用,不适用
107624502,107624,初中,高中
340342104,107643,小学,文盲/半文盲
340342103,107643,高中,小学
107643601,107643,初中,初中
340342105,107643,初中,初中
360124105,107648,初中,大专
