pid,Academic_performance,Chinese_score,Math_score,Province,P_StopTV,P_Discuss,P_Supervising,P_Check_homework,C_Work_hard,C_Check_homwork,C_Self_discipline,C_Focus,Extra_tutorial_fee,Household_income_total,F_Edu_level,M_Edu_level,Household_type_Urban,Gender_Male,Edu_level_Junior,Edu_level_Primary,Keyschool_Yes,Keyclass_Yes,C_Attend_extra_tourial_or_not_Yes
110020108,5,3,3,北京市,2,2,4,3,2,2,1,4,1,6,4,4,1,1,0,1,0,0,0
110026103,7,4,4,北京市,1,4,2,3,4,2,4,4,8,6,6,5,1,1,0,1,1,0,1
110071103,7,4,4,北京市,5,5,5,5,4,2,4,4,1,6,6,6,1,1,0,1,1,0,1
110108551,7,4,4,北京市,4,5,5,5,4,2,2,4,1,6,5,5,1,0,0,1,0,0,0
120001103,3,2,2,天津市,4,4,5,3,4,2,4,2,1,5,2,4,1,0,1,0,0,0,0
120007103,7,4,4,天津市,4,5,5,3,4,4,4,2,8,5,6,4,1,0,0,1,1,0,1
120012103,6,3,4,天津市,4,4,5,4,2,2,2,2,8,6,5,6,1,0,1,0,1,0,1
120018102,6,3,4,天津市,4,3,4,3,2,2,4,2,6,6,4,6,1,0,1,0,0,0,1
120029103,7,4,4,天津市,4,4,4,4,5,4,4,4,1,5,4,4,1,1,0,1,0,0,0
120032103,6,4,3,天津市,2,4,2,2,4,4,4,4,8,5,3,4,1,0,1,0,0,0,1
120039103,6,4,3,天津市,5,3,5,5,4,3,2,4,8,6,5,5,1,0,0,1,0,0,1
120063103,4,3,2,天津市,5,4,4,3,4,2,4,4,6,6,6,6,1,1,1,0,0,1,1
120072104,3,2,2,天津市,4,4,4,4,2,3,4,4,1,5,3,4,1,1,0,1,0,0,0
120078105,3,1,3,天津市,2,2,4,4,2,2,2,2,1,5,3,3,0,1,1,0,0,0,0
120081105,3,3,1,天津市,3,3,1,3,2,2,2,2,1,5,1,2,0,1,0,1,0,0,0
