,Academic_performance,P_StopTV,P_Discuss,P_Supervising,P_Check_homework,C_Work_hard,C_Check_homwork,C_Self_discipline,C_Focus,Extra_tutorial_fee,Household_income_total,F_Edu_level,M_Edu_level,Household_type_Urban,Gender_Male,Edu_level_Junior,Edu_level_Primary,Keyschool_Yes,Keyclass_Yes,C_Attend_extra_tourial_or_not_Yes,
平均,4.520048603,3.352673147,3.236634265,3.967496962,3.279769137,3.637606318,3.291919806,3.72235723,3.424969623,2.387910085,5.251518834,2.935905225,2.703827461,0.432260024,0.528857837,0.240279465,0.746658566,0.260328068,0.10054678,0.203219927,
标准误差,0.031881069,0.022778968,0.019965526,0.017802298,0.023777762,0.017888011,0.01978861,0.016828694,0.018803212,0.040819198,0.009223822,0.020590973,0.021547661,0.008635417,0.008701247,0.007447685,0.007581414,0.007649202,0.00524215,0.007014366,
中位数,5,4,3,4,4,4,4,4,4,1,5,3,3,0,1,0,1,0,0,0,
众数,3,4,4,4,4,4,4,4,4,1,5,3,3,0,1,0,1,0,0,0,
标准差,1.829206714,1.306965012,1.145541064,1.021423833,1.364271785,1.026341654,1.135390344,0.965562374,1.078852195,2.342040369,0.529225599,1.181426709,1.236317615,0.495465303,0.499242363,0.427318045,0.434990838,0.438880252,0.300773345,0.402455947,
方差,3.345997202,1.708157544,1.312264329,1.043306647,1.861237504,1.053377192,1.289111233,0.932310698,1.163922059,5.485153091,0.280079734,1.395769068,1.528481244,0.245485866,0.249242937,0.182600712,0.18921703,0.192615875,0.090464605,0.16197079,
峰度,-1.049481512,-0.871913474,-0.63662614,1.820386611,-1.022483544,-0.424975615,-1.266264761,0.280230974,-1.073074801,-0.243337438,5.743321229,0.372067685,0.168635955,-1.926310391,-1.987826918,-0.520874768,-0.712717542,-0.806144228,5.066920477,0.177920911,
偏度,-0.16754925,-0.528566909,-0.466496369,-1.407177351,-0.479447348,-0.778844881,-0.326193622,-1.042945734,-0.495195258,1.221045831,-0.315657904,0.546711241,0.537389359,0.273606061,-0.115676802,1.216323168,-1.134775673,1.092861336,2.657789029,1.475741572,
区域,6,4,4,4,4,4,4,4,4,7,6,6,6,1,1,1,1,1,1,1,
最小值,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,
最大值,7,5,5,5,5,5,5,5,5,8,7,7,7,1,1,1,1,1,1,1,
求和,14880,11037,10655,13061,10797,11975,10837,12254,11275,7861,17288,9665,8901,1423,1741,791,2458,857,331,669,
观测数,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,3292,
,,,,,,,,,,,,,,,,,,,,,
,Varibles,Mean,Std,,,,,,,,,,,,,,,,,,
,Academic_performance,4.520 ,0.032 ,,,,,,,,,,,,,,,,,,
,P_StopTV,3.353 ,0.023 ,,,,,,,,,,,,,,,,,,
,P_Discuss,3.237 ,0.020 ,,,,,,,,,,,,,,,,,,
,P_Supervising,3.967 ,0.018 ,,,,,,,,,,,,,,,,,,
,P_Check_homework,3.280 ,0.024 ,,,,,,,,,,,,,,,,,,
,C_Work_hard,3.638 ,0.018 ,,,,,,,,,,,,,,,,,,
,C_Check_homwork,3.292 ,0.020 ,,,,,,,,,,,,,,,,,,
,C_Self_discipline,3.722 ,0.017 ,,,,,,,,,,,,,,,,,,
,C_Focus,3.425 ,0.019 ,,,,,,,,,,,,,,,,,,
,Extra_tutorial_fee,2.388 ,0.041 ,,,,,,,,,,,,,,,,,,
,Household_income_total,5.252 ,0.009 ,,,,,,,,,,,,,,,,,,
,F_Edu_level,2.936 ,0.021 ,,,,,,,,,,,,,,,,,,
,M_Edu_level,2.704 ,0.022 ,,,,,,,,,,,,,,,,,,
,Household_type_Urban,0.432 ,0.009 ,,,,,,,,,,,,,,,,,,
,Gender_Male,0.529 ,0.009 ,,,,,,,,,,,,,,,,,,
,Edu_level_Junior,0.240 ,0.007 ,,,,,,,,,,,,,,,,,,
,Edu_level_Primary,0.747 ,0.008 ,,,,,,,,,,,,,,,,,,
,Keyschool_Yes,0.260 ,0.008 ,,,,,,,,,,,,,,,,,,
,Keyclass_Yes,0.101 ,0.005 ,,,,,,,,,,,,,,,,,,
,C_Attend_extra_tourial_or_not_Yes,0.203 ,0.007 ,,,,,,,,,,,,,,,,,,
