pid,fid18_x,provcd18,urban18,gender_update,wa701code,wc3_b_2,ws3,ws4,ws5,ws602,ws604,wf501,wf502,wf601m,wf602m,wf603m,wf604m,wf801,wf802,wf803,wf804,wt1,wd503r,fincome1,fid18_y,tb4_a18_f,tb4_a18_m
100551552,100551,河北省,乡村,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,80000.0,100551,大学本科,大学本科
100724602,100724,河北省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,30000.0,100724,高中,大专
100810601,100810,河北省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,36500.0,100810,初中,小学
100879601,100879,北京市,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,21000.0,100879,初中,初中
101274601,101274,山西省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,20000.0,101274,大专,初中
102730601,102730,辽宁省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,72000.0,102730,大专,大专
103465601,103465,辽宁省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,110000.0,103465,大学本科,大学本科
103671621,103671,辽宁省,缺失,男,汉族,不适用,,,,,,,,,,,,,,,,,,65000.0,103671,大学本科,大专
103788551,103788,辽宁省,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,同意,同意,同意,同意,否,不适用,220000.0,103788,大专,大学本科
103924504,103924,河北省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,经常（每周2-4次）,很经常（每周5-7次）,经常（每周2-4次）,十分同意,不同意,十分同意,十分同意,是,4500,120000.0,103924,大学本科,大学本科
106561502,555780,上海市,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,很少（每月1次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用,8200000.0,555780,高中,大学本科
106632601,106632,上海市,城镇,男,汉族,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,同意,是,10000,500000.0,106632,大专,大学本科
107619551,107619,江西省,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,很少（每月1次）,经常（每周2-4次）,经常（每周2-4次）,同意,同意,同意,同意,否,不适用,60000.0,107619,初中,高中
107619552,107619,江西省,城镇,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,60000.0,107619,初中,高中
107624502,107624,安徽省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,从不,不适用,不适用,不适用,不适用,不适用,不同意,否,不适用,80000.0,107624,初中,高中
107643601,107643,安徽省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,154800.0,107643,初中,初中
107824601,107824,福建省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,100000.0,107824,高中,初中
108211601,108211,江西省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,175000.0,108211,初中,小学
108244601,108244,山东省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,115000.0,108244,初中,初中
108244602,108244,山东省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,115000.0,108244,初中,初中
